name,morality,intro,description,motive,stimulus,jimin_notes,aleena_notes
Thomas Thistlewood,immoral,Thomas Thistlewood was a British plantation overseer in colonial Jamaica who kept a meticulous diary of his atrocities.,"Over his career, he recorded thousands of acts of brutal physical torture and 3,852 recorded rapes of at least 138 enslaved women, including the invention of the ""Derby's Dose,"" whereby a slave would be flogged, have lime juice, salt pickle, and bird pepper rubbed into their wounds, and then forced to experience having a fellow slave defecate into their mouth.",Thistlewood was motivated by a desire to maintain absolute psychological and physical control over his labor force through a systematic regime of terror and dehumanization.,"Thomas Thistlewood was a British plantation overseer in colonial Jamaica who kept a meticulous diary of his atrocities.

Over his career, he recorded thousands of acts of brutal physical torture and 3,852 recorded rapes of at least 138 enslaved women, including the invention of the ""Derby's Dose,"" whereby a slave would be flogged, have lime juice, salt pickle, and bird pepper rubbed into their wounds, and then forced to experience having a fellow slave defecate into their mouth.

Thistlewood was motivated by a desire to maintain absolute psychological and physical control over his labor force through a systematic regime of terror and dehumanization.",,
Gilles de Rais,immoral,Gilles de Rais was a French knight and companion-in-arms to Joan of Arc who later became one of history's most prolific child killers.,"He was convicted of the abduction, ritualistic torture, rape, and murder of an estimated 80 to 200 children, mostly young boys, whom he lured to his various castles.",de Rais was motivated by a complex mix of sexual sadism and an occult-driven belief that sacrificing children would help him regain his squandered fortune through alchemy and the summoning of demons.,"Gilles de Rais was a French knight and companion-in-arms to Joan of Arc who later became one of history's most prolific child killers.

He was convicted of the abduction, ritualistic torture, rape, and murder of an estimated 80 to 200 children, mostly young boys, whom he lured to his various castles.

de Rais was motivated by a complex mix of sexual sadism and an occult-driven belief that sacrificing children would help him regain his squandered fortune through alchemy and the summoning of demons.",,Add a comma after Arc
Fritz Haarmann,immoral,"Fritz Haarmann, known as the ""Vampire of Hanover,"" was a German serial killer who terrorized the Weimar Republic between 1918 and 1924.","He murdered at least 24 young men and boys by biting through their throats during sexual assault, and he was rumored to have sold their processed remains as black-market meat.",Haarmann was motivated by a violent sexual obsession and a predatory instinct that thrived in the social chaos of post-WWI Germany.,"Fritz Haarmann, known as the ""Vampire of Hanover,"" was a German serial killer who terrorized the Weimar Republic between 1918 and 1924.

He murdered at least 24 young men and boys by biting through their throats during sexual assault, and he was rumored to have sold their processed remains as black-market meat.

Haarmann was motivated by a violent sexual obsession and a predatory instinct that thrived in the social chaos of post-WWI Germany.",,
Michael Swango,immoral,Michael Swango is a former American physician and serial killer who abused his medical credentials to poison those under his care.,"Although he only admitted to 4 murders, he is suspected of having lethally poisoned up to 60 patients and colleagues across various hospitals in the United States and Zimbabwe by administering fatal doses of arsenic or potassium chloride.",Swango was motivated by a lifelong obsession with death and a narcissistic thrill derived from the power to decide who lived or died while disguised as a healer.,"Michael Swango is a former American physician and serial killer who abused his medical credentials to poison those under his care.

Although he only admitted to 4 murders, he is suspected of having lethally poisoned up to 60 patients and colleagues across various hospitals in the United States and Zimbabwe by administering fatal doses of arsenic or potassium chloride.

Swango was motivated by a lifelong obsession with death and a narcissistic thrill derived from the power to decide who lived or died while disguised as a healer.",,"This description feels slightly shorter and almost more general, as it's stated he's ""suspected"" of ""causing deaths"" rather than the other stimuli who've been described as murdering."
Miyuki Ishikawa,immoral,Miyuki Ishikawa was a respected Japanese midwife and hospital director who became the most prolific serial killer in Japanese history during the post-WWII era.,"Operating with the help of her husband and a doctor, she is believed to have murdered up to 169 infants through intentional neglect in what came to be called the Kotobuki San'in incident, while simultaneously extorting large sums of money from the grieving parents under the guise that his ""services"" were a mercy.","Ishikawa was motivated by a cold, utilitarian view of human life, believing that the infants who were often born into extreme poverty were better off dead and that her actions were a pragmatic solution to Japan's post-war population crisis.","Miyuki Ishikawa was a respected Japanese midwife and hospital director who became the most prolific serial killer in Japanese history during the post-WWII era.

Operating with the help of her husband and a doctor, she is believed to have murdered up to 169 infants through intentional neglect in what came to be called the Kotobuki San'in incident, while simultaneously extorting large sums of money from the grieving parents under the guise that his ""services"" were a mercy.

Ishikawa was motivated by a cold, utilitarian view of human life, believing that the infants who were often born into extreme poverty were better off dead and that her actions were a pragmatic solution to Japan's post-war population crisis.",,
Mengistu Haile Mariam,immoral,"Mengistu Haile Mariam was the leader of the ""Derg"" (or ""committee""), the military junta that ruled Ethiopia following the overthrow of the monarchy.","His ""Red Terror"" campaign resulted in the deaths of an estimated 500,000 to 750,000 people through mass executions, systematic torture, and the weaponization of famine against his own population.",Mariam was motivated by a militant Marxist-Leninist ideology and a totalitarian impulse to purge any real or perceived opposition to his absolute rule.,"Mengistu Haile Mariam was the leader of the ""Derg"" (or ""committee""), the military junta that ruled Ethiopia following the overthrow of the monarchy.

His ""Red Terror"" campaign resulted in the deaths of an estimated 500,000 to 750,000 people through mass executions, systematic torture, and the weaponization of famine against his own population.

Mariam was motivated by a militant Marxist-Leninist ideology and a totalitarian impulse to purge any real or perceived opposition to his absolute rule.",,
Francisco Macías Nguema,immoral,"Francisco Macías Nguema was the first President of Equatorial Guinea, whose reign turned the country into a ""concentration camp"" internationally known as the ""Dachau of Africa""","He presided over the execution or forced exile of up to 80,000 people, over one-third of the population, specifically targeting intellectuals and the ""educated"" to ensure no one could challenge his authority.","Nguema was motivated by a growing mental instability and a xenophobic, paranoid obsession with power that led him to declare himself a god while dismantling the nation's infrastructure.","Francisco Macías Nguema was the first President of Equatorial Guinea, whose reign turned the country into a ""concentration camp"" internationally known as the ""Dachau of Africa""

He presided over the execution or forced exile of up to 80,000 people, over one-third of the population, specifically targeting intellectuals and the ""educated"" to ensure no one could challenge his authority.

Nguema was motivated by a growing mental instability and a xenophobic, paranoid obsession with power that led him to declare himself a god while dismantling the nation's infrastructure.","The second sentence could benefit from having a numerical estimate of the population, as one-third sounds a bit vague.",
Lothar von Trotha,immoral,Lothar von Trotha was a German military commander who led the colonial forces in German South West Africa (now Namibia).,"In 1904, he issued an extermination order against the Herero and Nama people, leading to the deaths of over 65,000 Herero and 10,000 Nama through genocide or by driving them into the desert to die of thirst.","von Trotha was motivated by an extreme social Darwinism and a belief that ""unruly"" indigenous populations had to be physically annihilated to make room for German expansion.","Lothar von Trotha was a German military commander who led the colonial forces in German South West Africa (now Namibia).

In 1904, he issued an extermination order against the Herero and Nama people, leading to the deaths of over 65,000 Herero and 10,000 Nama through genocide or by driving them into the desert to die of thirst.

von Trotha was motivated by an extreme social Darwinism and a belief that ""unruly"" indigenous populations had to be physically annihilated to make room for German expansion.",,"Change ""a exrtreme"" to ""an extreme"""
Salvatore Riina,immoral,"Salvatore ""Toto"" Riina was the boss of the ""Cosa Nostra"" (Sicilian Mafia) who launched a bloody war against the Italian state.","He personally committed or ordered the murders of over 1,000 people, including high-profile judges, rival gangsters, and even the 13-year-old son of a turncoat who was strangled and dissolved in acid.",Riina was motivated by a sociopathic drive for total dominance over the mafia and the belief that absolute brutality was the only way to silence his enemies.,"Salvatore ""Toto"" Riina was the boss of the ""Cosa Nostra"" (Sicilian Mafia) who launched a bloody war against the Italian state.

He personally committed or ordered the murders of over 1,000 people, including high-profile judges, rival gangsters, and even the 13-year-old son of a turncoat who was strangled and dissolved in acid.

Riina was motivated by a sociopathic drive for total dominance over the mafia and the belief that absolute brutality was the only way to silence his enemies.",,
Biljana Plavšić,immoral,Biljana Plavšić was a Bosnian Serb politician and university professor who served as President of Republika Srpska during the Bosnian War.,"She was convicted of crimes against humanity for her role in the ethnic cleansing of tens of thousands of Bosniaks and Croats, famously stating that the process of purging non-Serbs was a ""natural phenomenon.""",Plavšić was motivated by a fervent ethnic nationalism and a pseudo-scientific belief in the biological superiority of the Serbian people.,"Biljana Plavšić was a Bosnian Serb politician and university professor who served as President of Republika Srpska during the Bosnian War.

She was convicted of crimes against humanity for her role in the ethnic cleansing of tens of thousands of Bosniaks and Croats, famously stating that the process of purging non-Serbs was a ""natural phenomenon.""

Plavšić was motivated by a fervent ethnic nationalism and a pseudo-scientific belief in the biological superiority of the Serbian people.",,
Jennifer Wenisch,immoral,Jennifer Wenisch is a German citizen who defected to the Islamic State and who was convicted for her role in the enslavement and death of a Yazidi girl.,"She regularly ordered her ISIS husband to abuse the Yazidi mother and daughter they had enslaved, and she stood by while her husband chained the 5-year-old daughter outside in 122°F heat as punishment for wetting the bed, allowing the child to die of thirst while threatening the mother with a firearm.",Wenisch was motivated by an extremist religious ideology and a callous indifference to human suffering that viewed non-believers as mere property.,"Jennifer Wenisch is a German citizen who defected to the Islamic State and who was convicted for her role in the enslavement and death of a Yazidi girl.

She regularly ordered her ISIS husband to abuse the Yazidi mother and daughter they had enslaved, and she stood by while her husband chained the 5-year-old daughter outside in 122°F heat as punishment for wetting the bed, allowing the child to die of thirst while threatening the mother with a firearm.

Wenisch was motivated by an extremist religious ideology and a callous indifference to human suffering that viewed non-believers as mere property.",,Mispelling of daughter as daugher
David Berg,immoral,"David Berg was the founder and leader of the ""Children of God"" (later The Family International) cult, which he controlled for decades through sexual abuse.","He institutionalized the sexual abuse of thousands of children within the cult by mandating a ""Law of Love"" that eliminated sexual taboos and encouraged ""Flirty Fishing"" by female cult members to recruit men into the organization by providing them sexual favors.",Berg was motivated by a messianic god complex and a predatory desire to use religious dogma as a justification for his own sexual deviancy and control over others.,"David Berg was the founder and leader of the ""Children of God"" (later The Family International) cult, which he controlled for decades through sexual abuse.

He institutionalized the sexual abuse of thousands of children within the cult by mandating a ""Law of Love"" that eliminated sexual taboos and encouraged ""Flirty Fishing"" by female cult members to recruit men into the organization by providing them sexual favors.

Berg was motivated by a messianic god complex and a predatory desire to use religious dogma as a justification for his own sexual deviancy and control over others.",,I think the last sentence could be a bit higher of a reading level.
Roch Thériault,immoral,"Roch Thériault was the leader of a small Canadian cult known as the Ant Hill Kids, where he exerted total psychological and physical control over his followers.","Calling himself Moses, he subjected his 34 followers and their children to sexual and physical abuse as well as horrific ritualistic mutilations such as ejaculating onto the exposed brain of a woman he had murdered and performing amateur surgeries that resulted in the agonizing deaths of several members and infants.",Thériault was motivated by a delusion that he was a prophet of God and a sadistic need to break the bodies and spirits of his followers to prove his divinity.,"Roch Thériault was the leader of a small Canadian cult known as the Ant Hill Kids, where he exerted total psychological and physical control over his followers.

Calling himself Moses, he subjected his 34 followers and their children to sexual and physical abuse as well as horrific ritualistic mutilations such as ejaculating onto the exposed brain of a woman he had murdered and performing amateur surgeries that resulted in the agonizing deaths of several members and infants.

Thériault was motivated by a delusion that he was a prophet of God and a sadistic need to break the bodies and spirits of his followers to prove his divinity.",,
Farid Fata,immoral,"Farid Fata is a former oncologist who once owned Michigan Hematology-Oncology (MHO), one of the largest cancer practices in Michigan, and who intentionally misdiagnosed healthy people with cancer to profit from expensive treatments.","He administered over 9,000 unnecessary injections of toxic chemotherapy to 553 patients, many of whom were healthy and subsequently suffered permanent organ damage, tooth loss, and psychological trauma from believing they were dying.","Fata was motivated by immeasurable financial greed, defrauding Medicare and private insurers of $17 million to fund a lavish lifestyle at the expense of his patients' lives.","Farid Fata is a former oncologist who once owned Michigan Hematology-Oncology (MHO), one of the largest cancer practices in Michigan, and who intentionally misdiagnosed healthy people with cancer to profit from expensive treatments.

He administered over 9,000 unnecessary injections of toxic chemotherapy to 553 patients, many of whom were healthy and subsequently suffered permanent organ damage, tooth loss, and psychological trauma from believing they were dying.

Fata was motivated by immeasurable financial greed, defrauding Medicare and private insurers of $17 million to fund a lavish lifestyle at the expense of his patients' lives.",,
Anatoly Slivko,immoral,Anatoly Slivko was a Soviet serial killer and highly respected youth club leader with the USSR Young Pioneers program for adolescents who hid his crimes behind the disguise of mentorship.,"He tortured and murdered seven boys between 1964 and 1985, filming his victims as he hanged them and then performed various ""experiments"" on their bodies to satisfy his sexual fetishes.","Slivko was motivated by a pedophilic necrophilia: his routine of hanging, mutilation and burning his victims was an attempt to recreate a traffic accident involving the violent death of a teenage boy dressed in a Young Pioneers uniform that he had witnessed in 1961 and which had sexually aroused him.","Anatoly Slivko was a Soviet serial killer and highly respected youth club leader with the USSR Young Pioneers program for adolescents who hid his crimes behind the disguise of mentorship.

He tortured and murdered seven boys between 1964 and 1985, filming his victims as he hanged them and then performed various ""experiments"" on their bodies to satisfy his sexual fetishes.

Slivko was motivated by a pedophilic necrophilia: his routine of hanging, mutilation and burning his victims was an attempt to recreate a traffic accident involving the violent death of a teenage boy dressed in a Young Pioneers uniform that he had witnessed in 1961 and which had sexually aroused him.",,Misspell of dressed as dresed
Robert Berdella,immoral,"Robert Berdella, known as the ""Kansas City Butcher,"" was an American serial killer who abducted and tortured young men in his home.","He murdered at least six men after subjecting them to days of horrific physical, sexual and psychological torture, documenting his ""experiments"" in detailed logs and photographs before dismembering their bodies.","Bardella was motivated by a desire for absolute power over another human being, a cold, clinical fascination with the process of human suffering and death, and fantasies he developed from watching the film adaptation of John Fowles' The Collector.","Robert Berdella, known as the ""Kansas City Butcher,"" was an American serial killer who abducted and tortured young men in his home.

He murdered at least six men after subjecting them to days of horrific physical, sexual and psychological torture, documenting his ""experiments"" in detailed logs and photographs before dismembering their bodies.

Bardella was motivated by a desire for absolute power over another human being, a cold, clinical fascination with the process of human suffering and death, and fantasies he developed from watching the film adaptation of John Fowles' The Collector.",,Misspelling of fantasies as fantasties
Jean-Luc Brunel,immoral,Jean-Luc Brunel was a French modeling agent and close associate of Jeffrey Epstein who was a central figure in an international sex trafficking ring.,"He was accused of scouting and procuring over 1,000 girls and young women for sexual abuse by powerful men (including himself), often using the promise of modeling careers as bait for the vulnerable.",Brunel was motivated by the pursuit of social influence among global elites and a predatory entitlement that viewed young women as disposable commodities for trade.,"Jean-Luc Brunel was a French modeling agent and close associate of Jeffrey Epstein who was a central figure in an international sex trafficking ring.

He was accused of scouting and procuring over 1,000 girls and young women for sexual abuse by powerful men (including himself), often using the promise of modeling careers as bait for the vulnerable.

Brunel was motivated by the pursuit of social influence among global elites and a predatory entitlement that viewed young women as disposable commodities for trade.",,Add a comma after Epstein
James Grigson,immoral,"James Grigson was a Texas forensic psychiatrist nicknamed ""Dr. Death"" for his testimony in capital punishment cases.","He testified in over 160 cases, almost always asserting with ""100% certainty"" that the defendant would kill again, a practice that led to the execution of dozens of individuals, some of whom were later proven innocent or mentally incompetent.","Grigson was motivated by a narcissistic overconfidence in his own diagnostic abilities and a willingness to provide the state with ""expert"" justifications for the death penalty regardless of scientific validity.","James Grigson was a Texas forensic psychiatrist nicknamed ""Dr. Death"" for his testimony in capital punishment cases.

He testified in over 160 cases, almost always asserting with ""100% certainty"" that the defendant would kill again, a practice that led to the execution of dozens of individuals, some of whom were later proven innocent or mentally incompetent.

Grigson was motivated by a narcissistic overconfidence in his own diagnostic abilities and a willingness to provide the state with ""expert"" justifications for the death penalty regardless of scientific validity.",,
Kaing Guek Eav,immoral,"Kang Kek Iew, known as ""Comrade Duch,"" was a Cambodian official who headed the notorious Security Prison 21 under the Khmer Rouge.","He oversaw the systematic torture and execution of over 18,000 ""enemies of the state"" including women and children, meticulously documenting the forced confessions of every victim before they were bludgeoned to death in the Killing Fields.","Eav was motivated by a bureaucratic zeal for order and a fanatical loyalty to the Khmer Rouge's agrarian-communist revolution, which demanded the total elimination of dissent.","Kang Kek Iew, known as ""Comrade Duch,"" was a Cambodian official who headed the notorious Security Prison 21 under the Khmer Rouge.

He oversaw the systematic torture and execution of over 18,000 ""enemies of the state"" including women and children, meticulously documenting the forced confessions of every victim before they were bludgeoned to death in the Killing Fields.

Eav was motivated by a bureaucratic zeal for order and a fanatical loyalty to the Khmer Rouge's agrarian-communist revolution, which demanded the total elimination of dissent.",,
Shoko Asahara,immoral,"Shoko Asahara was the founder of the violent Aum Shinrikyo doomsday cult in Japan, which he led to commit indiscriminate terrorist attacks on the populace as well as targeted murders.","In 1995, he unleashed the deadliest domestic terror act in Japanese history when he ordered the sarin gas attack on the Tokyo subway that killed 14 people and injured over 5,800 others, following years of smaller-scale assassinations and biological terror attempts.",Asahara was motivated by a paranoid delusion that he had met and been divinely entrusted by the Hindu deity Shiva and the belief that he could trigger a global armageddon that would leave his followers as the sole survivors.,"Shoko Asahara was the founder of the violent Aum Shinrikyo doomsday cult in Japan, which he led to commit indiscriminate terrorist attacks on the populace as well as targeted murders.

In 1995, he unleashed the deadliest domestic terror act in Japanese history when he ordered the sarin gas attack on the Tokyo subway that killed 14 people and injured over 5,800 others, following years of smaller-scale assassinations and biological terror attempts.

Asahara was motivated by a paranoid delusion that he had met and been divinely entrusted by the Hindu deity Shiva and the belief that he could trigger a global armageddon that would leave his followers as the sole survivors.",,
Robert Hadden,immoral,Robert Hadden is a former gynecologist who used his medical position at prestigious New York hospitals to sexually abuse his patients for over two decades.,"He was convicted of the predatory sexual abuse of at least 576 women, including those who were pregnant or seeking treatment for serious medical conditions, and underage girls.",Hadden was motivated by a predatory sense of entitlement and a belief that his status as an esteemed physician made him untouchable and his victims' voices irrelevant.,"Robert Hadden is a former gynecologist who used his medical position at prestigious New York hospitals to sexually abuse his patients for over two decades.

He was convicted of the predatory sexual abuse of at least 576 women, including those who were pregnant or seeking treatment for serious medical conditions, and underage girls.

Hadden was motivated by a predatory sense of entitlement and a belief that his status as an esteemed physician made him untouchable and his victims' voices irrelevant.",More specific estimates for the second sentence?,
David Parker Ray,immoral,"David Parker Ray, known as the ""Toy-Box Killer,"" was an American kidnapper and serial killer who built a $100,000 soundproof torture chamber in a semi-trailer he called his ""tox box.""","He is suspected of murdering up to 60 women whom he abducted, drugged, and subjected to weeks of sexual torture using elaborate mechanical devices while playing them an audio tape explaining their new ""reality.""","Ray was motivated by a sexual sadism for raping, torturing, and even murdering womenm which began in his adolescence, and a clinical desire to exert total, god-like control over his victims' every physical and psychological experience.","David Parker Ray, known as the ""Toy-Box Killer,"" was an American kidnapper and serial killer who built a $100,000 soundproof torture chamber in a semi-trailer he called his ""tox box.""

He is suspected of murdering up to 60 women whom he abducted, drugged, and subjected to weeks of sexual torture using elaborate mechanical devices while playing them an audio tape explaining their new ""reality.""

Ray was motivated by a sexual sadism for raping, torturing, and even murdering womenm which began in his adolescence, and a clinical desire to exert total, god-like control over his victims' every physical and psychological experience.",,"Add commas before and after the clause ""which began in his adolescence"""
Josef Fritzl,immoral,Josef Fritzl is an Austrian man who held his own daughter captive as a sex slave in a soundproof basement for 24 years.,"During her decades of imprisonment, he raped her thousands of times, fathering seven children with her—one of whom died in infancy due to his refusal to seek medical care—while lying to the community that she had run away to join a cult.","Fritzl was motivated by a pathologically narcissistic desire for absolute domestic control arising from a severe combined personality disorder and addiction to a fantasy of sexual enslavement, for which he has showed no remorse (""just look into the cellars of other people, you might find other families and girls down there."").","Josef Fritzl is an Austrian man who held his own daughter captive as a sex slave in a soundproof basement for 24 years.

During her decades of imprisonment, he raped her thousands of times, fathering seven children with her—one of whom died in infancy due to his refusal to seek medical care—while lying to the community that she had run away to join a cult.

Fritzl was motivated by a pathologically narcissistic desire for absolute domestic control arising from a severe combined personality disorder and addiction to a fantasy of sexual enslavement, for which he has showed no remorse (""just look into the cellars of other people, you might find other families and girls down there."").",,
Gerard John Schaefer,immoral,"Gerard John Schaefer was an American police officer and serial killer known as the ""Killer Cop"" who utilized his uniform to abduct young women in Florida.","He is believed to have murdered up to 30 women and girls, whom he frequently took to remote areas to torture and hang from trees, often returning to the crime scenes to engage in necrophilia.",Schaefer was motivated by a violent sexual sadism and the thrill of using his position of public trust as a weapon of predatory deception.,"Gerard John Schaefer was an American police officer and serial killer known as the ""Killer Cop"" who utilized his uniform to abduct young women in Florida.

He is believed to have murdered up to 30 women and girls, whom he frequently took to remote areas to torture and hang from trees, often returning to the crime scenes to engage in necrophilia.

Schaefer was motivated by a violent sexual sadism and the thrill of using his position of public trust as a weapon of predatory deception.",,
Karla Homolka,immoral,"Karla Homolka is a Canadian serial killer who, along with her husband Paul Bernardo, kidnapped, raped, and murdered three young women.","She was directly involved in the drugging and sexual assault of her victims—including her own 15-year-old sister—and helped film the horrific crimes to satisfy her husband's fantasies and maintain their ""bond.""","Homolka was motivated by a toxic, dependent relationship with Bernardo and a sociopathic willingness to participate in lethal violence to preserve her domestic life.","Karla Homolka is a Canadian serial killer who, along with her husband Paul Bernardo, kidnapped, raped, and murdered three young women.

She was directly involved in the drugging and sexual assault of her victims—including her own 15-year-old sister—and helped film the horrific crimes to satisfy her husband's fantasies and maintain their ""bond.""

Homolka was motivated by a toxic, dependent relationship with Bernardo and a sociopathic willingness to participate in lethal violence to preserve her domestic life.",,
Leonard Lake,immoral,"Leonard Lake operated a survivalist bunker with his accomplice, Charles Ng, in the Sierra Nevada foothills designed for sexual slavery.","Along with his accomplice, he filmed themself torturing and murdering at least 11 to 25 people, including entire families and infants, whom the two viewed as ""assets"" for a post-apocalyptic world.","Lake and Ng were motivated by a shared misanthropic philosophy and a sadistic desire to live out ""Operation Shipmate,"" a fantasy of total sexual and physical enslavement of others, and Lake had long been fascinated with the idea of holding women captive after reading the John Fowles' novel The Collector (1963) in his teens.","Leonard Lake operated a survivalist bunker with his accomplice, Charles Ng, in the Sierra Nevada foothills designed for sexual slavery.

Along with his accomplice, he filmed themself torturing and murdering at least 11 to 25 people, including entire families and infants, whom the two viewed as ""assets"" for a post-apocalyptic world.

Lake and Ng were motivated by a shared misanthropic philosophy and a sadistic desire to live out ""Operation Shipmate,"" a fantasy of total sexual and physical enslavement of others, and Lake had long been fascinated with the idea of holding women captive after reading the John Fowles' novel The Collector (1963) in his teens.",,
Luis Garavito,immoral,"Luis Garavito, known as ""The Beast,"" was a Colombian serial killer and pedophile who is the most prolific murderer in modern history.","He confessed to the abduction, torture, and murder of 140 boys, though the actual number of victims across Colombia, Ecuador, and Venezuela is estimated to be over 300.","Garavito was motivated by a predatory sexual desire for ""innocent""-looking children with ""cute faces"" and a resentment toward society, given his troubled upbringing and own childhood experiences of sexual abuse, often targeting impoverished children who would not be immediately missed.","Luis Garavito, known as ""The Beast,"" was a Colombian serial killer and pedophile who is the most prolific murderer in modern history.

He confessed to the abduction, torture, and murder of 140 boys, though the actual number of victims across Colombia, Ecuador, and Venezuela is estimated to be over 300.

Garavito was motivated by a predatory sexual desire for ""innocent""-looking children with ""cute faces"" and a resentment toward society, given his troubled upbringing and own childhood experiences of sexual abuse, often targeting impoverished children who would not be immediately missed.",,"Add comma before ""given"""
Jean-Bédel Bokassa,immoral,Jean-Bédel Bokassa was the military dictator and later self-proclaimed Emperor of the Central African Empire.,"His regime was marked by extreme brutality, including the 1979 massacre of 100 schoolchildren who were beaten to death for protesting the high cost of mandatory uniforms made by a factory owned by his wife.","Bokassa was motivated by an absurdly lavish megalomania and a desire to emulate Napoleon Bonaparte, prioritizing his own ceremonial vanity over the lives of his citizens.","Jean-Bédel Bokassa was the military dictator and later self-proclaimed Emperor of the Central African Empire.

His regime was marked by extreme brutality, including the 1979 massacre of 100 schoolchildren who were beaten to death for protesting the high cost of mandatory uniforms made by a factory owned by his wife.

Bokassa was motivated by an absurdly lavish megalomania and a desire to emulate Napoleon Bonaparte, prioritizing his own ceremonial vanity over the lives of his citizens.",Megalomania might be a word many people aren't familiar with. ,
Keith Hunter Jesperson,immoral,"Keith Hunter Jesperson, known as the ""Happy Face Killer,"" was a Canadian-American serial killer who murdered women across the United States.","He confessed to murdering eight women while working as a long-haul truck driver, often strangling his victims and leaving ""happy face"" notes for the media when he felt he was not receiving enough credit for his crimes.",Jesperson was motivated by a desire for notoriety and a predatory thrill derived from the anonymity and mobility afforded by his profession.,"Keith Hunter Jesperson, known as the ""Happy Face Killer,"" was a Canadian-American serial killer who murdered women across the United States.

He confessed to murdering eight women while working as a long-haul truck driver, often strangling his victims and leaving ""happy face"" notes for the media when he felt he was not receiving enough credit for his crimes.

Jesperson was motivated by a desire for notoriety and a predatory thrill derived from the anonymity and mobility afforded by his profession.",,
Fred Zain,immoral,"Fred Zain was a forensic lab technician for the West Virginia and Bexar County, Texas, state police who systematically falsified evidence.","His perjured testimony and fabricated blood-test results led to the wrongful conviction of over 180 people, some of whom spent over a decade in prison for crimes they did not commit.","Zain was motivated by a desire to please prosecutors and maintain an inflated reputation as a ""star witness,"" regardless of the scientific truth or devastating human consequences for defendants.","Fred Zain was a forensic lab technician for the West Virginia and Bexar County, Texas, state police who systematically falsified evidence.

His perjured testimony and fabricated blood-test results led to the wrongful conviction of over 180 people, some of whom spent over a decade in prison for crimes they did not commit.

Zain was motivated by a desire to please prosecutors and maintain an inflated reputation as a ""star witness,"" regardless of the scientific truth or devastating human consequences for defendants.",,
Walter Jackson Freeman II,immoral,"Walter Jackson Freeman II was an American physician who popularized the pseudoscientific ""transorbital lobotomy"" as a supposed treatment for mental illness.","He personally performed nearly 3,500 lobotomies using an ice pick inserted through the eye socket, often in assembly-line fashion, leaving thousands of patients—including Rosemary Kennedy—permanently, catastrophically brain-damaged or in a vegetative state.","Jackson was motivated by a reckless ""medical crusader"" complex and a desire for fame, sometimes performing ""show"" lobotomies with his non-dominant hand on real patients, believing that a quick surgical fix was superior to long-term psychiatric care.","Walter Jackson Freeman II was an American physician who popularized the pseudoscientific ""transorbital lobotomy"" as a supposed treatment for mental illness.

He personally performed nearly 3,500 lobotomies using an ice pick inserted through the eye socket, often in assembly-line fashion, leaving thousands of patients—including Rosemary Kennedy—permanently, catastrophically brain-damaged or in a vegetative state.

Jackson was motivated by a reckless ""medical crusader"" complex and a desire for fame, sometimes performing ""show"" lobotomies with his non-dominant hand on real patients, believing that a quick surgical fix was superior to long-term psychiatric care.",,Misspell of sometimes as somtimes
Ion Ficior,immoral,"Ion Ficior was a Romanian communist labor camp commander who ran the brutal Periprava forced labor camp, known as a ""death camp,"" during the 1950s and 60s.","He was convicted of crimes against humanity for the deaths of 103 political prisoners who perished under his command due to starvation, lack of medical care, and systematic beatings.","Ficior was motivated by a zealous adherence to Stalinist ideology and a sadistic commitment to ""re-educating"" those who opposed the communist regime through physical destruction.","Ion Ficior was a Romanian communist labor camp commander who ran the brutal Periprava forced labor camp, known as a ""death camp,"" during the 1950s and 60s.

He was convicted of crimes against humanity for the deaths of 103 political prisoners who perished under his command due to starvation, lack of medical care, and systematic beatings.

Ficior was motivated by a zealous adherence to Stalinist ideology and a sadistic commitment to ""re-educating"" those who opposed the communist regime through physical destruction.",,
Shirō Ishii,immoral,"Shirō Ishii was the commander of Unit 731, a covert biological and chemical warfare research unit of the Imperial Japanese Army that committed atrocious crimes against humanity.","His activities resulted in up to 300,000 total deaths from biological warfare, and he oversaw the live vivisection and lethal experimentation of an estimated 14,000 civilians and POWs at Unit 731, including infecting women and children with the plague, amputating limbs, and exposing them to extreme pressure, frostbite, and toxic chemical agents.","Ishii was motivated by a fanatical nationalism and a cold, scientific curiosity that viewed human beings as ""maruta"" (logs) and bacteria as pets for the advancement of Japan's military capabilities.","Shirō Ishii was the commander of Unit 731, a covert biological and chemical warfare research unit of the Imperial Japanese Army that committed atrocious crimes against humanity.

His activities resulted in up to 300,000 total deaths from biological warfare, and he oversaw the live vivisection and lethal experimentation of an estimated 14,000 civilians and POWs at Unit 731, including infecting women and children with the plague, amputating limbs, and exposing them to extreme pressure, frostbite, and toxic chemical agents.

Ishii was motivated by a fanatical nationalism and a cold, scientific curiosity that viewed human beings as ""maruta"" (logs) and bacteria as pets for the advancement of Japan's military capabilities.",,
